0.0;40.0;0.0;0.0001;
0.5;40.0;0.0;0.0002;
1.0;40.0;0.0;0.0001;
1.5;40.0;0.0;0.0001;
2.0;40.0;0.0;0.0001;
2.5;40.0;0.0;0.0001;
3.0;20.0;0.0;0.0002;
3.5;40.0;0.0;0.0002;
4.0;40.0;0.0;0.0;
4.5;40.0;0.0;0.0002;
5.0;40.0;0.0;0.0;
5.5;40.0;0.0;-0.0001;
6.0;40.0;0.0;-0.0001;
6.5;10.0;0.0;-0.0002;
7.0;40.0;0.0;-0.0001;
7.5;40.0;0.0;-0.0001;
8.0;42.0;0.0;-0.0003;
8.5;40.0;0.0;-0.0001;
9.0;40.0;0.0;-0.0001;
9.5;40.0;0.0;0.0;
10.0;40.0;0.0;-0.0002;
10.5;40.0;0.0;-0.0001;
11.0;40.0;0.0;-0.0002;
11.5;40.0;0.0;-0.0001;
12.0;40.0;0.0;-0.0002;
12.5;40.0;0.0;-0.0001;
13.0;40.0;0.0;-0.0002;
13.5;40.0;0.0;-0.0001;
14.0;40.0;0.0;-0.00012;
14.5;40.0;0.0;-0.0001;
15.0;40.0;0.0;-0.00012;
15.5;40.0;0.0;-0.0001;
16.0;40.0;0.0;-0.0002;
16.5;40.0;0.0;-0.0001;
17.0;40.0;0.0;-0.0001;
17.5;40.0;0.0;-0.0001;
18.0;40.0;0.0;-0.0002;
18.5;40.0;0.0;-0.0001;
19.0;40.0;0.0;-0.0001;
19.5;40.0;0.0;-0.0001;
20.0;40.0;0.0;-0.0001;
20.5;40.0;0.0;-0.0001;
21.0;40.0;0.0;-0.0002;
21.5;40.0;0.0;-0.0001;
22.0;40.0;0.0;-0.0002;
22.5;40.0;0.0;-0.0001;
23.0;40.0;0.0;-0.0002;
23.5;40.0;0.0;-0.0001;

